epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.047109158643122234,0.4765625,0.0
0,250.8988380432129,0.013071303832275456,0.9158710863377624,0.0,0.014636975435548396,0.8962053571428574,0.0
1,502.4472918510437,0.007079149908534459,0.9588027751423147,0.0,0.01294898307553792,0.9029017857142858,0.0
-1,502.4472918510437,0.007079149908534459,0.9588027751423147,0.0,0.038023032913250585,0.607142857142857,0.0
0,267.3563904762268,0.010282413588076977,0.9368921963946849,0.0,0.0206314679650989,0.8694196428571428,0.0
1,536.4016389846802,0.0062055917674745205,0.9638282732447822,0.0,0.0147855345951809,0.8962053571428572,0.0
2,805.7230582237244,0.004447610774373713,0.9737310246679303,0.0,0.015916325443998045,0.8939732142857141,0.0
3,1075.1456890106201,0.0032940682868309755,0.980150023719165,0.0,0.018279800721627135,0.8962053571428573,0.0
4,1344.8072319030762,0.0026411315556485715,0.9837820208728651,0.0,0.0160476779788691,0.8939732142857142,0.0
5,1614.7077877521515,0.00199159433092354,0.9869544592030366,0.0,0.022842058024772467,0.8928571428571429,0.0
