epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.04395790524514659,0.4732142857142857,0.0
0,281.8452162742615,0.012974049471671625,0.9167457305502842,0.0,0.015397279438080398,0.8928571428571428,0.0
1,563.9823265075684,0.007040080146021517,0.9589658444022773,0.0,0.012911496733847474,0.9017857142857142,0.0
2,845.2532420158386,0.0047291246287032695,0.9720558586337772,0.0,0.018065592982436224,0.8995535714285716,0.0
-1,845.2532420158386,0.0047291246287032695,0.9720558586337772,0.0,0.04333188817171114,0.4955357142857143,0.0
0,282.57581639289856,0.023700986998796924,0.8194230313092989,0.0,0.0266785925611787,0.7801339285714285,0.0
1,565.7810678482056,0.016718849274453596,0.8862962523719182,0.0,0.025965562634935064,0.7890625000000001,0.0
2,848.3307032585144,0.014114641619544847,0.9067392077798856,0.0,0.0256236628899517,0.8080357142857142,0.0
3,1123.6645665168762,0.012397052214510032,0.9211930740037947,0.0,0.026882713673070876,0.7991071428571429,0.0
4,1402.2085328102112,0.011108131106481265,0.9311699478178386,0.0,0.028034649607434403,0.8058035714285713,0.0
5,1695.3605635166168,0.010036619809301347,0.9366401802656558,0.0,0.02843944872854211,0.8080357142857143,0.0
6,1980.423342704773,0.009088742318062292,0.9433408444022771,0.0,0.030437683342045472,0.8247767857142858,0.0
7,2265.4215269088745,0.008360254122081547,0.9480995018975317,0.0,0.031201991981236334,0.8058035714285713,0.0
