epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.047109158643122234,0.4765625,0.0
0,253.87756061553955,0.013071303832275456,0.9158710863377624,0.0,0.014636975435548396,0.8962053571428574,0.0
1,507.3190722465515,0.007079149908534459,0.9588027751423147,0.0,0.01294898307553792,0.9029017857142858,0.0
-1,507.3190722465515,0.007079149908534459,0.9588027751423147,0.0,0.04067347165463225,0.5390625,0.0
0,267.9126648902893,0.01066663451795353,0.9342386148007593,0.0,0.01752458587621471,0.8783482142857143,0.0
1,536.9225897789001,0.006161503152482015,0.9644360768500934,0.0,0.013892589449304587,0.9006696428571429,0.0
2,806.4315233230591,0.0043372754555009285,0.9746204933586335,0.0,0.014481908421398003,0.8984375000000001,0.0
3,1076.1183514595032,0.003133417482558368,0.9809357210626177,0.0,0.01565499557338106,0.8984375000000001,0.0
4,1345.9849154949188,0.0024406230191490095,0.9849679791271336,0.0,0.017708393153952787,0.9017857142857143,0.0
5,1615.985886335373,0.0018478091947084598,0.9881552419354813,0.0,0.021351867955932642,0.890625,0.0
