epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.04395790524514659,0.4732142857142857,0.0
0,264.87019300460815,0.012974049471671625,0.9167457305502842,0.0,0.015397279438080398,0.8928571428571428,0.0
1,530.3489105701447,0.007040080146021517,0.9589658444022773,0.0,0.012911496733847474,0.9017857142857142,0.0
2,798.6264584064484,0.0047291246287032695,0.9720558586337772,0.0,0.018065592982436224,0.8995535714285716,0.0
-1,798.6264584064484,0.0047291246287032695,0.9720558586337772,0.0,0.04327667943601098,0.4977678571428571,0.0
0,280.39327001571655,0.02678976453377054,0.7954666745730555,0.0,0.026288893289997103,0.7745535714285715,0.0
1,563.676186800003,0.018645492171275816,0.8752520161290319,0.0,0.027376325098365278,0.7845982142857143,0.0
2,845.3750777244568,0.015800109811873134,0.8965844402277047,0.0,0.025157390041775734,0.8002232142857142,0.0
3,1129.2174835205078,0.01377038318455141,0.910563923149905,0.0,0.026594763276599615,0.7957589285714287,0.0
4,1412.6600863933563,0.01255229096632162,0.9202887808349156,0.0,0.025852462359970168,0.8080357142857144,0.0
5,1686.770581483841,0.011466932063276146,0.9273452324478173,0.0,0.027032629187617986,0.8058035714285714,0.0
6,1968.9781758785248,0.010600680974140903,0.9338976518026542,0.0,0.02885536824344724,0.8113839285714284,0.0
7,2252.6198518276215,0.009886828881433534,0.938923149905123,0.0,0.02936855139289816,0.8046875,0.0
