epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.04395790524514659,0.4732142857142857,0.0
0,266.6335210800171,0.012974049471671625,0.9167457305502842,0.0,0.015397279438080398,0.8928571428571428,0.0
1,532.6387145519257,0.007040080146021517,0.9589658444022773,0.0,0.012911496733847474,0.9017857142857142,0.0
2,794.8783721923828,0.0047291246287032695,0.9720558586337772,0.0,0.018065592982436224,0.8995535714285716,0.0
-1,794.8783721923828,0.0047291246287032695,0.9720558586337772,0.0,0.04338109120726587,0.4776785714285714,0.0
0,285.74542808532715,0.02642365569836176,0.7905152988614806,0.0,0.026650105773504563,0.7712053571428571,0.0
1,568.8201973438263,0.01797349070021229,0.8775498102466779,0.0,0.025537421103633412,0.7946428571428573,0.0
2,852.2752821445465,0.015529278518591266,0.8975480313092962,0.0,0.02530394186448705,0.7957589285714285,0.0
3,1134.464655160904,0.013956847337130481,0.9089332305502844,0.0,0.025965496972535865,0.8035714285714286,0.0
4,1415.8295629024506,0.013031888281467272,0.9159896821631898,0.0,0.026146948638987453,0.8046874999999999,0.0
5,1695.3615851402283,0.012124393228598894,0.9220528937381403,0.0,0.027310628364960274,0.7991071428571429,0.0
6,1975.6430776119232,0.011408288259159075,0.9275231261859573,0.0,0.029621651229847758,0.8113839285714286,0.0
7,2256.743708372116,0.010672003133240949,0.9329933586337775,0.0,0.029341517453888497,0.7979910714285713,0.0
