epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.047109158643122234,0.4765625,0.0
0,274.1614875793457,0.013071303832275456,0.9158710863377624,0.0,0.014636975435548396,0.8962053571428574,0.0
1,546.3430640697479,0.007079149908534459,0.9588027751423147,0.0,0.01294898307553792,0.9029017857142858,0.0
-1,546.3430640697479,0.007079149908534459,0.9588027751423147,0.0,0.04332901810162834,0.4955357142857143,0.0
0,273.3408851623535,0.04287997869053673,0.557014943074004,0.0,0.042932341673544455,0.4955357142857143,0.0
1,544.5481765270233,0.040696759904386835,0.6135258538899434,0.0,0.03348102989340467,0.7444196428571431,0.0
2,815.6605019569397,0.028289497090062652,0.7862310246679316,0.0,0.030795218489531963,0.7578124999999999,0.0
3,1087.2937116622925,0.020393249573251462,0.861969283681214,0.0,0.025985081933738132,0.8046875000000001,0.0
4,1358.0254685878754,0.017359839808232167,0.8875266840607199,0.0,0.02760268791878063,0.7857142857142856,0.0
5,1628.780284166336,0.015797939908059392,0.8994159155597719,0.0,0.02688383439505872,0.8046875,0.0
