epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.042661486991814206,0.591517857142857,0.0
0,253.973730802536,0.012956648056317318,0.9172052893738144,0.0,0.015437948170853946,0.890625,0.0
1,508.93994331359863,0.007031351348760138,0.9589361954459219,0.0,0.012349545847558019,0.9118303571428571,0.0
2,763.3475611209869,0.004728367044724431,0.9721448055028459,0.0,0.01768347714278206,0.904017857142857,0.0
3,1017.7700846195221,0.003303560421852213,0.980194497153698,0.0,0.01837890035299746,0.8962053571428571,0.0
4,1275.4579179286957,0.002489247509325246,0.984671489563567,0.0,0.016413081293389302,0.9062500000000001,0.0
5,1531.0580959320068,0.0018549487632813439,0.9877846299810236,0.0,0.02373541853213672,0.8895089285714285,0.0
-1,1531.0580959320068,0.0018549487632813439,0.9877846299810236,0.0,0.04327712247946432,0.5022321428571429,0.0
0,271.35953974723816,0.020517496109362467,0.8499318074003804,0.0,0.03484529823929603,0.7343749999999998,0.0
1,544.2722644805908,0.012719148494123428,0.9183467741935492,0.0,0.022104939883450116,0.8392857142857142,0.0
2,817.0009071826935,0.009301136529712171,0.942406902277043,0.0,0.029847807176078534,0.8158482142857141,0.0
3,1091.670620918274,0.007295448420329542,0.9554672675521823,0.0,0.02802066260742971,0.8526785714285714,0.0
4,1366.4318463802338,0.005912770736529506,0.9639320445920313,0.0,0.03133900260503911,0.8392857142857144,0.0
5,1639.223469734192,0.004809151342108918,0.9702176233396584,0.0,0.026812171250639946,0.8415178571428571,0.0
