epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.04395790524514659,0.4732142857142857,0.0
0,263.71820425987244,0.012974049471671625,0.9167457305502842,0.0,0.015397279438080398,0.8928571428571428,0.0
1,525.9799318313599,0.007040080146021517,0.9589658444022773,0.0,0.012911496733847474,0.9017857142857142,0.0
2,785.3949480056763,0.0047291246287032695,0.9720558586337772,0.0,0.018065592982436224,0.8995535714285716,0.0
-1,785.3949480056763,0.0047291246287032695,0.9720558586337772,0.0,0.03759760003803031,0.7633928571428571,0.0
0,282.0237090587616,0.010051129381274587,0.9370700901328263,0.0,0.014573402200767305,0.8917410714285714,0.0
1,565.8541741371155,0.005995879431001447,0.9642137096774187,0.0,0.015562415933735406,0.8995535714285715,0.0
2,850.8684079647064,0.004316729058958727,0.9736865512333954,0.0,0.019306049027623628,0.8861607142857142,0.0
3,1128.5409834384918,0.0034116943224327474,0.9789937144212517,0.0,0.01943340205304724,0.8805803571428572,0.0
4,1405.8690407276154,0.0026542467685368317,0.9834855313093003,0.0,0.02505031868115891,0.8895089285714284,0.0
5,1680.688401222229,0.0021734402275344037,0.9859612191650861,0.0,0.023400237286263552,0.8950892857142857,0.0
6,1957.5242640972137,0.0018950694794495559,0.9875029648956344,0.0,0.025908352039258314,0.8995535714285713,0.0
7,2230.490982055664,0.0015885164941942965,0.9891633064516175,0.0,0.023689205612575797,0.9006696428571428,0.0
