epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.04365302801930479,0.5011160714285714,0.0
0,253.0696837902069,0.013133243105871757,0.9155152988614793,0.0,0.014661274977178049,0.8906249999999999,0.0
1,508.05923652648926,0.00709017140915105,0.9588917220113865,0.0,0.01259740819036129,0.9073660714285715,0.0
-1,508.05923652648926,0.00709017140915105,0.9588917220113865,0.0,0.04542312904128008,0.4776785714285714,0.0
0,271.32335090637207,0.023814881962579977,0.8138193785578751,0.0,0.025030749147325494,0.7979910714285716,0.0
1,543.3261070251465,0.015686238755188545,0.8982744307400369,0.0,0.025105603193099207,0.8035714285714285,0.0
2,815.2869193553925,0.012907727585150415,0.9179909867172696,0.0,0.02803387018710575,0.7957589285714285,0.0
3,1087.3358731269836,0.01099757632212058,0.9313923149905124,0.0,0.028916403339410736,0.7991071428571431,0.0
4,1359.5059559345245,0.00933915899757615,0.9432518975332088,0.0,0.03162879504296663,0.7901785714285715,0.0
5,1631.663234949112,0.008018892041431646,0.9521614089184055,0.0,0.034028625032598424,0.7901785714285715,0.0
